Season,Date,HomeTeam,AwayTeam,Pick,Book,BestOdds,p_low,p_med,EV_low,Result,Profit
2023,2022-12-31,Brighton,Arsenal,A,IW,2.15,0.9019136432039995,0.9751728934468596,0.9391143328885987,A,1.15
2023,2022-12-31,Newcastle,Leeds,H,PS,1.49,0.7317490910383052,0.9778122265294353,0.09030614564707484,D,-1.0
2023,2023-01-01,Tottenham,Aston Villa,H,PS,1.7,0.9473860826283875,0.98,0.6105563404682588,A,-1.0
2023,2023-01-03,Arsenal,Newcastle,H,IW,1.83,0.8311305263324059,0.98,0.5209688631883029,D,-1.0
2023,2023-01-04,Crystal Palace,Tottenham,A,PSC,2.31,0.784066478968302,0.9480076010280801,0.8111935664167775,A,1.31
2023,2023-01-14,Nott'm Forest,Leicester,A,PSC,2.84,0.6301463406637631,0.7708068970332254,0.7896156074850871,H,-1.0
2023,2023-01-14,Brentford,Bournemouth,H,PS,1.69,0.98,0.98,0.6561999999999999,H,0.69
2023,2023-01-15,Newcastle,Fulham,H,BW,1.53,0.8746334683556645,0.98,0.33818920658416673,H,0.53
2023,2023-01-21,Crystal Palace,Newcastle,A,PS,1.92,0.9476934053972248,0.98,0.8195713383626715,D,-1.0
2023,2023-01-22,Man City,Wolves,H,PSC,1.27,0.8315890873163048,0.9262167948317938,0.05611814089170708,H,0.27
2023,2023-01-23,Fulham,Tottenham,H,PS,3.33,0.42862846682457406,0.8492523636504453,0.4273327945258316,A,-1.0
2023,2023-02-04,Everton,Arsenal,D,PS,4.84,0.379051344646873,0.8546011414649625,0.8346085080908654,H,-1.0
2023,2023-02-04,Brentford,Southampton,H,PS,1.92,0.8967043481033042,0.98,0.721672348358344,H,0.9199999999999999
2023,2023-02-04,Wolves,Liverpool,A,IWC,2.0,0.7802170354863347,0.9378674511315839,0.5604340709726694,H,-1.0
2023,2023-02-04,Newcastle,West Ham,H,IWC,1.73,0.7285328193805877,0.9582766061519419,0.2603617775284166,D,-1.0
2023,2023-02-04,Man United,Crystal Palace,H,PS,1.41,0.8417015475250222,0.9475843378509122,0.18679918201028123,H,0.4099999999999999
2023,2023-02-11,Arsenal,Brentford,H,PSC,1.58,0.96055179330523,0.98,0.5176718334222634,D,-1.0
2023,2023-02-12,Man City,Aston Villa,H,PSC,1.37,0.7855612250839543,0.954578094637375,0.0762188783650175,H,0.3700000000000001
2023,2023-02-18,Brentford,Crystal Palace,H,BW,1.87,0.8566513177226376,0.9474859684540495,0.6019379641413323,D,-1.0
2023,2023-02-18,Brighton,Fulham,H,IW,1.67,0.9370736115875938,0.9793052308397548,0.5649129313512817,A,-1.0
2023,2023-02-18,Wolves,Bournemouth,H,BWC,1.83,0.8300047729833587,0.9701818837181453,0.5189087345595464,A,-1.0
2023,2023-02-19,Man United,Leicester,H,PS,1.65,0.9661603030303214,0.98,0.5941645000000302,H,0.6499999999999999
2023,2023-02-19,Tottenham,West Ham,H,IWC,1.9,0.6373056505915329,0.876792419425842,0.21088073612391245,H,0.8999999999999999
2023,2023-02-24,Fulham,Wolves,H,PSC,2.68,0.4999607141593164,0.7674086367223407,0.33989471394696813,D,-1.0
2023,2023-02-25,Everton,Aston Villa,H,PSC,2.61,0.4155548233556316,0.8398140828470074,0.08459808895819831,A,-1.0
2023,2023-03-01,Liverpool,Wolves,H,IWC,1.53,0.8996340727378885,0.9611413997825835,0.3764401312889696,H,0.53
2023,2023-03-04,Arsenal,Bournemouth,H,PSC,1.23,0.9179433419813159,0.9734901139033594,0.12907031063701857,H,0.22999999999999998
2023,2023-03-04,Chelsea,Leeds,H,PS,1.65,0.6362466293818696,0.8557542264139606,0.04980693848008477,H,0.6499999999999999
2023,2023-03-05,Nott'm Forest,Everton,H,B365C,3.1,0.3644260783906713,0.6329547905906617,0.129720843011081,D,-1.0
2023,2023-03-11,Crystal Palace,Man City,D,IW,5.25,0.5946100453312554,0.8323740236211166,2.1217027379890907,A,-1.0
2023,2023-03-11,Bournemouth,Liverpool,D,PSC,5.15,0.32772805735258653,0.712913287788541,0.6877994953658209,H,-1.0
2023,2023-03-17,Nott'm Forest,Newcastle,D,PS,3.87,0.5459842819797255,0.9130073331679002,1.1129591712615379,A,-1.0
2023,2023-03-18,Aston Villa,Bournemouth,H,BWC,1.75,0.6608394153842134,0.8387054512114109,0.1564689769223735,H,0.75
2023,2023-03-18,Southampton,Tottenham,A,PSC,1.85,0.6032720496324587,0.937937811766517,0.11605329182004875,D,-1.0
2023,2023-04-02,Newcastle,Man United,D,PSC,3.63,0.2855524496160143,0.7176402925420794,0.0365553921061319,H,-1.0
